,Month_year,Country,Balance,Combustible Renewables,Hydro,Other Renewables,Solar,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",Wind,value_CDD_18,value_CDD_21,value_Global_Horizontal_Irrandiance,value_HDD_16,value_HDD_18,value_Heat_index,value_Relative_Humidty,value_Temperature,value_Total_Precipitation,"total target (wind, solar, hydro)"
132,2013-04-01,Sweden,Net Electricity Production,1063.559,4584.554,0.0,4.396,6537.105,884.596,0.0,0.0,617390.0,362.2,422.2,3.928,70.87,1.516,0.05609,5473.546
133,2013-04-01,Switzerland,Net Electricity Production,137.085,2419.367,0.0,46.865,2610.817,7.5,0.0,0.0,699234.0,253.4,312.9,7.569,76.46,4.978,0.2093,2473.732
134,2013-04-01,United Kingdom,Net Electricity Production,1439.995,572.612,0.417,241.315,4846.51,2592.171,0.0,0.0,611157.0,264.9,324.9,7.17,75.05,6.491,0.09071,3406.098
135,2013-04-01,United States,Net Electricity Production,4548.958,26175.841,0.0,1208.699,50537.819,17314.862,28.83,10.43,835005.0,127.3,168.4,13.35,59.38,7.124,0.1021,44699.402
136,2014-04-01,Australia,Net Electricity Production,272.38,1157.836,0.0,276.378,2383.086,676.409,49.06,15.36,742303.0,23.09,46.36,18.12,54.83,23.0,0.05812,2110.623
137,2014-04-01,Austria,Net Electricity Production,345.684,3456.392,0.0,88.157,4153.12,262.857,0.0,0.0,703997.0,184.5,244.4,9.853,74.26,8.046,0.141,3807.406
138,2014-04-01,Belgium,Net Electricity Production,257.656,105.409,0.0,345.569,953.196,244.562,0.0,0.0,649989.0,124.6,184.3,11.86,72.21,11.53,0.0478,695.5400000000001
139,2014-04-01,Canada,Net Electricity Production,932.291,30521.887,1.473,207.267,33836.141,2173.223,0.0,0.0,699447.0,340.8,400.8,4.641,71.38,-7.515,0.0631,32902.377
140,2014-04-01,Chile,Net Electricity Production,449.6,1392.821,0.0,32.418,1953.316,78.477,0.5354,0.01758,575547.0,113.5,170.5,12.33,66.13,9.509,0.1492,1503.716
141,2014-04-01,Colombia,Net Electricity Production,98.824,3615.005,0.0,0.56,3721.083,6.694,117.7,68.68,687308.0,17.86,35.85,21.68,84.77,24.44,0.4634,3622.259
142,2014-04-01,Czech Republic,Net Electricity Production,354.476,207.907,0.0,247.394,843.297,33.52,0.0,0.0,681555.0,166.4,226.4,10.45,72.2,10.18,0.08121,488.821
